shipment_id,request_date,origin_hub,carrier,pickup_status,pickup_duration_hours
SHP101056,2025-10-12,Dhaka Hub,Steadfast Courier,Failed,1.5
SHP101057,2026-06-22,Rangpur Hub,Sundarban Courier,Completed,2.45
SHP101058,2026-01-11,Dhaka Hub,Pathao Courier,Completed,2.89
SHP101059,2025-12-27,Chattogram Hub,Sundarban Courier,Completed,3.68
SHP101060,2026-03-21,Dhaka Hub,Sundarban Courier,Completed,2.96
SHP101061,2026-02-20,Dhaka Hub,Pathao Courier,Completed,2.26
SHP101062,2026-06-21,Barisal Hub,Sundarban Courier,Completed,3.91
SHP101063,2026-03-03,Narayanganj Hub,RedX,Completed,2.02
SHP101064,2026-02-26,Rajshahi Hub,Sundarban Courier,Completed,3.05
SHP101065,2025-10-07,Mymensingh Hub,Sundarban Courier,Completed,1.91
SHP101066,2025-09-08,Dhaka Hub,Pathao Courier,Completed,1.57
SHP101067,2026-01-16,Dhaka Hub,Steadfast Courier,Completed,2.27
SHP101068,2026-08-12,Chattogram Hub,Sundarban Courier,Completed,4.82
SHP101069,2026-07-15,Dhaka Hub,Sundarban Courier,Completed,1.84
SHP101070,2026-04-06,Rajshahi Hub,Pathao Courier,Completed,2.2
SHP101071,2026-04-07,Narayanganj Hub,RedX,Completed,2.08
SHP101072,2026-01-14,Dhaka Hub,Steadfast Courier,Completed,3.0
SHP101073,2025-11-01,Comilla Hub,Pathao Courier,Completed,2.27
SHP101074,2025-09-03,Khulna Hub,Pathao Courier,Completed,1.92
SHP101075,2025-12-27,Dhaka Hub,Pathao Courier,Completed,2.6
SHP101076,2025-12-19,Khulna Hub,RedX,Completed,2.86
SHP101077,2025-11-06,Sylhet Hub,Steadfast Courier,Pending,
SHP101078,2025-11-29,Rangpur Hub,Sundarban Courier,Completed,2.81
SHP101079,2025-09-09,Rangpur Hub,Sundarban Courier,Completed,1.7
SHP101080,2026-03-30,Rajshahi Hub,eCourier,Cancelled,
SHP101081,2026-07-18,Rajshahi Hub,eCourier,Completed,3.54
SHP101082,2026-04-28,Rajshahi Hub,Pathao Courier,Failed,1.38
SHP101083,2026-02-03,Dhaka Hub,Pathao Courier,Completed,2.39
SHP101084,2026-01-24,Comilla Hub,Sundarban Courier,Completed,3.35
SHP101085,2025-12-16,Dhaka Hub,eCourier,Failed,2.01
SHP101086,2025-10-20,Rajshahi Hub,RedX,Completed,1.69
SHP101087,2026-03-27,Rangpur Hub,RedX,Completed,3.2
SHP101088,2026-03-16,Dhaka Hub,eCourier,Completed,3.07
SHP101089,2025-09-03,Sylhet Hub,Pathao Courier,Completed,4.71
SHP101090,2026-01-22,Dhaka Hub,Sundarban Courier,Completed,0.98
SHP101091,2025-12-06,Dhaka Hub,Pathao Courier,Completed,2.43
SHP101092,2025-10-29,Rajshahi Hub,Steadfast Courier,Completed,0.71
SHP101093,2026-05-02,Comilla Hub,RedX,Completed,2.12
SHP101094,2026-03-01,Chattogram Hub,Sundarban Courier,Completed,4.67
SHP101095,2026-04-08,Mymensingh Hub,Pathao Courier,Completed,1.17
SHP101096,2026-05-05,Khulna Hub,eCourier,Completed,2.15
SHP101097,2026-08-06,Rangpur Hub,eCourier,Completed,2.56
SHP101098,2026-06-05,Mymensingh Hub,RedX,Completed,2.17
SHP101099,2026-04-03,Rajshahi Hub,Pathao Courier,Completed,1.33
SHP101100,2026-07-02,Sylhet Hub,Steadfast Courier,Completed,2.98
SHP101101,2026-02-13,Khulna Hub,eCourier,Completed,2.94
SHP101102,2026-08-07,Barisal Hub,RedX,Completed,3.55
SHP101103,2026-05-22,Mymensingh Hub,RedX,Completed,3.7
SHP101104,2026-04-14,Khulna Hub,Steadfast Courier,Completed,2.56
SHP101105,2026-07-10,Mymensingh Hub,Steadfast Courier,Completed,2.64
SHP101106,2026-02-26,Chattogram Hub,RedX,Completed,3.24
SHP101107,2026-05-08,Rangpur Hub,Sundarban Courier,Completed,4.15
SHP101108,2025-12-08,Rajshahi Hub,Sundarban Courier,Completed,2.21
SHP101109,2026-07-31,Dhaka Hub,eCourier,Completed,2.36
SHP101110,2026-04-04,Khulna Hub,RedX,Completed,2.25
SHP101111,2026-05-29,Rangpur Hub,Pathao Courier,Completed,2.7
SHP101112,2026-02-07,Barisal Hub,Pathao Courier,Completed,3.88
SHP101113,2026-06-27,Khulna Hub,Steadfast Courier,Pending,
SHP101114,2025-09-26,Rangpur Hub,Steadfast Courier,Completed,3.25
SHP101115,2025-10-10,Comilla Hub,Steadfast Courier,Completed,1.54
SHP101116,2026-02-23,Dhaka Hub,Sundarban Courier,Completed,2.94
SHP101117,2026-05-12,Dhaka Hub,eCourier,Completed,1.09
SHP101118,2026-06-07,Narayanganj Hub,eCourier,Failed,2.3
SHP101119,2026-01-31,Dhaka Hub,Sundarban Courier,Completed,4.51
SHP101120,2026-04-13,Mymensingh Hub,Pathao Courier,Completed,2.16
SHP101121,2026-03-11,Khulna Hub,Steadfast Courier,Completed,2.11
SHP101122,2026-07-30,Chattogram Hub,Pathao Courier,Completed,3.96
SHP101123,2026-04-15,Barisal Hub,RedX,Completed,3.01
SHP101124,2026-01-23,Rangpur Hub,RedX,Completed,1.44
SHP101125,2026-08-02,Dhaka Hub,RedX,Pending,
SHP101126,2025-10-08,Dhaka Hub,Pathao Courier,Completed,2.05
SHP101127,2026-08-07,Rangpur Hub,eCourier,Completed,2.63
SHP101128,2025-10-24,Barisal Hub,Pathao Courier,Completed,3.05
SHP101129,2025-12-09,Dhaka Hub,eCourier,Cancelled,
SHP101130,2026-06-12,Dhaka Hub,Pathao Courier,Completed,3.03
SHP101131,2026-05-12,Rajshahi Hub,RedX,Completed,2.53
SHP101132,2026-08-02,Rajshahi Hub,eCourier,Pending,
SHP101133,2026-05-18,Rangpur Hub,Pathao Courier,Completed,2.47
SHP101134,2026-04-09,Mymensingh Hub,Pathao Courier,Completed,2.76
SHP101135,2025-12-29,Rajshahi Hub,eCourier,Completed,3.13
SHP101136,2025-09-02,Rajshahi Hub,Pathao Courier,Completed,2.55
SHP101137,2025-10-13,Khulna Hub,Pathao Courier,Cancelled,
SHP101138,2025-12-13,Khulna Hub,Sundarban Courier,Completed,3.75
SHP101139,2025-09-15,Narayanganj Hub,Steadfast Courier,Completed,3.35
SHP101140,2026-02-23,Dhaka Hub,RedX,Completed,2.58
SHP101141,2026-05-27,Khulna Hub,Sundarban Courier,Completed,5.08
SHP101142,2026-07-31,Dhaka Hub,Steadfast Courier,Failed,2.88
SHP101143,2026-02-17,Barisal Hub,Sundarban Courier,Completed,5.2
SHP101144,2026-06-30,Rangpur Hub,Sundarban Courier,Completed,3.69
SHP101145,2026-08-07,Dhaka Hub,Sundarban Courier,Completed,2.74
SHP101146,2026-06-25,Rangpur Hub,Sundarban Courier,Completed,2.42
SHP101147,2026-02-08,Rajshahi Hub,Sundarban Courier,Completed,2.39
SHP101148,2025-12-22,Narayanganj Hub,RedX,Completed,1.52
SHP101149,2026-08-05,Mymensingh Hub,Pathao Courier,Completed,1.2
SHP101150,2025-11-23,Rangpur Hub,RedX,Completed,2.09
SHP101151,2026-01-21,Dhaka Hub,Pathao Courier,Completed,2.13
SHP101152,2025-09-26,Narayanganj Hub,Sundarban Courier,Completed,3.73
SHP101153,2026-06-02,Rangpur Hub,Pathao Courier,Completed,1.59
SHP101154,2026-04-13,Mymensingh Hub,RedX,Completed,2.55
SHP101155,2025-09-30,Rangpur Hub,eCourier,Completed,3.02
SHP101156,2025-11-16,Mymensingh Hub,Sundarban Courier,Completed,2.99
SHP101157,2026-03-12,Rajshahi Hub,Pathao Courier,Completed,2.13
SHP101158,2026-03-06,Dhaka Hub,Pathao Courier,Completed,3.59
SHP101159,2026-06-05,Sylhet Hub,eCourier,Completed,3.19
SHP101160,2025-12-02,Dhaka Hub,Pathao Courier,Completed,1.73
SHP101161,2026-07-17,Chattogram Hub,eCourier,Completed,4.36
SHP101162,2026-02-01,Dhaka Hub,Sundarban Courier,Completed,3.11
SHP101163,2026-06-12,Rajshahi Hub,Pathao Courier,Completed,2.35
SHP101164,2025-11-22,Rangpur Hub,eCourier,Completed,2.8
SHP101165,2025-09-13,Mymensingh Hub,Sundarban Courier,Completed,3.09
SHP101166,2025-09-20,Mymensingh Hub,Pathao Courier,Completed,2.46
SHP101167,2026-01-07,Dhaka Hub,Steadfast Courier,Completed,2.33
SHP101168,2026-07-27,Rangpur Hub,Pathao Courier,Completed,3.71
SHP101169,2025-09-17,Comilla Hub,Sundarban Courier,Completed,3.43
SHP101170,2026-01-06,Rangpur Hub,Sundarban Courier,Completed,3.05
SHP101171,2025-10-08,Dhaka Hub,Sundarban Courier,Completed,3.7
SHP101172,2026-07-20,Narayanganj Hub,eCourier,Completed,1.11
SHP101173,2026-04-22,Khulna Hub,Pathao Courier,Pending,
SHP101174,2026-05-22,Khulna Hub,Steadfast Courier,Completed,2.37
SHP101175,2026-05-05,Chattogram Hub,RedX,Pending,
SHP101176,2026-04-16,Mymensingh Hub,Steadfast Courier,Completed,2.83
SHP101177,2026-05-26,Mymensingh Hub,eCourier,Failed,2.92
SHP101178,2025-09-03,Mymensingh Hub,Steadfast Courier,Completed,3.41
SHP101179,2026-06-27,Dhaka Hub,RedX,Pending,
SHP101180,2026-05-14,Dhaka Hub,Sundarban Courier,Completed,3.23
SHP101181,2026-05-14,Narayanganj Hub,Sundarban Courier,Failed,3.79
SHP101182,2026-01-15,Mymensingh Hub,RedX,Completed,2.04
SHP101183,2026-06-05,Mymensingh Hub,Sundarban Courier,Completed,3.41
SHP101184,2026-01-11,Rangpur Hub,eCourier,Completed,2.76
SHP101185,2025-09-17,Dhaka Hub,Pathao Courier,Completed,3.04
SHP101186,2026-07-12,Khulna Hub,eCourier,Completed,2.11
SHP101187,2025-11-21,Dhaka Hub,Pathao Courier,Completed,1.04
SHP101188,2025-10-06,Sylhet Hub,Steadfast Courier,Completed,3.3
SHP101189,2026-04-04,Dhaka Hub,Pathao Courier,Completed,2.06
SHP101190,2025-11-20,Sylhet Hub,Pathao Courier,Pending,
SHP101191,2026-06-24,Barisal Hub,eCourier,Failed,4.16
SHP101192,2026-02-01,Mymensingh Hub,eCourier,Failed,1.88
SHP101193,2025-09-02,Dhaka Hub,eCourier,Completed,1.78
SHP101194,2026-07-27,Comilla Hub,Steadfast Courier,Failed,3.74
SHP101195,2026-02-26,Dhaka Hub,Pathao Courier,Completed,2.03
SHP101196,2025-11-30,Narayanganj Hub,eCourier,Cancelled,
SHP101197,2026-04-23,Sylhet Hub,Sundarban Courier,Completed,4.5
SHP101198,2026-03-03,Dhaka Hub,RedX,Completed,1.33
SHP101199,2025-09-11,Rangpur Hub,Sundarban Courier,Completed,2.74
SHP101200,2026-05-21,Dhaka Hub,Pathao Courier,Completed,2.68
SHP101201,2026-01-17,Rajshahi Hub,RedX,Completed,1.36
SHP101202,2026-05-01,Rangpur Hub,eCourier,Completed,1.9
SHP101203,2026-07-07,Sylhet Hub,Pathao Courier,Completed,2.96
SHP101204,2026-03-31,Barisal Hub,Steadfast Courier,Completed,3.84
SHP101205,2026-04-21,Khulna Hub,RedX,Completed,3.1
SHP101206,2025-11-28,Dhaka Hub,Pathao Courier,Completed,2.36
SHP101207,2025-11-22,Barisal Hub,RedX,Completed,3.47
SHP101208,2026-01-22,Narayanganj Hub,Pathao Courier,Completed,1.45
SHP101209,2026-06-23,Chattogram Hub,Pathao Courier,Completed,3.8
SHP101210,2026-03-01,Dhaka Hub,RedX,Completed,1.22
SHP101211,2025-12-30,Dhaka Hub,Pathao Courier,Completed,2.76
SHP101212,2026-05-28,Rajshahi Hub,Pathao Courier,Completed,2.28
SHP101213,2026-06-23,Narayanganj Hub,eCourier,Completed,2.49
SHP101214,2026-07-10,Mymensingh Hub,Pathao Courier,Completed,2.4
SHP101215,2025-12-13,Rangpur Hub,eCourier,Completed,2.49
SHP101216,2026-05-04,Chattogram Hub,eCourier,Completed,3.94
SHP101217,2026-03-24,Rajshahi Hub,Pathao Courier,Completed,1.53
SHP101218,2026-02-03,Chattogram Hub,RedX,Failed,4.71
SHP101219,2026-01-16,Dhaka Hub,Pathao Courier,Completed,1.96
SHP101220,2025-10-10,Sylhet Hub,RedX,Completed,2.81
SHP101221,2025-12-05,Khulna Hub,Pathao Courier,Cancelled,
SHP101222,2026-03-10,Mymensingh Hub,Steadfast Courier,Completed,2.28
SHP101223,2026-07-04,Rangpur Hub,Pathao Courier,Completed,0.8
SHP101224,2026-06-27,Sylhet Hub,RedX,Completed,4.44
SHP101225,2025-11-04,Sylhet Hub,Pathao Courier,Completed,2.87
SHP101226,2026-04-24,Rangpur Hub,Pathao Courier,Completed,1.84
SHP101227,2025-09-30,Chattogram Hub,Sundarban Courier,Completed,4.78
SHP101228,2026-04-22,Chattogram Hub,RedX,Failed,3.1
SHP101229,2025-12-28,Comilla Hub,Steadfast Courier,Completed,2.26
SHP101230,2026-02-03,Rangpur Hub,Pathao Courier,Completed,2.51
SHP101231,2026-05-07,Narayanganj Hub,Pathao Courier,Completed,0.87
SHP101232,2026-01-26,Mymensingh Hub,Sundarban Courier,Failed,3.24
SHP101233,2026-06-07,Rangpur Hub,Sundarban Courier,Completed,3.91
SHP101234,2026-03-04,Dhaka Hub,Steadfast Courier,Completed,1.18
SHP101235,2026-08-12,Khulna Hub,Steadfast Courier,Completed,2.84
SHP101236,2026-04-09,Chattogram Hub,Steadfast Courier,Completed,3.48
SHP101237,2025-12-12,Chattogram Hub,Pathao Courier,Completed,3.36
SHP101238,2026-05-27,Rangpur Hub,Sundarban Courier,Completed,3.48
SHP101239,2026-01-20,Chattogram Hub,eCourier,Completed,4.89
SHP101240,2026-03-04,Dhaka Hub,Sundarban Courier,Completed,3.06
SHP101241,2025-10-18,Chattogram Hub,RedX,Completed,2.49
SHP101242,2025-10-12,Rangpur Hub,Pathao Courier,Completed,2.47
SHP101243,2026-03-18,Khulna Hub,Sundarban Courier,Completed,3.36
SHP101244,2025-11-04,Dhaka Hub,Steadfast Courier,Cancelled,
SHP101245,2026-08-12,Rajshahi Hub,Pathao Courier,Completed,1.6
SHP101246,2026-06-24,Dhaka Hub,Steadfast Courier,Completed,2.31
SHP101247,2026-05-01,Dhaka Hub,Sundarban Courier,Completed,3.23
SHP101248,2026-05-13,Chattogram Hub,Pathao Courier,Completed,3.27
SHP101249,2026-03-25,Rangpur Hub,Pathao Courier,Completed,2.6
SHP101250,2025-09-21,Dhaka Hub,Pathao Courier,Completed,1.24
SHP101251,2026-01-14,Dhaka Hub,RedX,Completed,2.2
SHP101252,2026-02-19,Dhaka Hub,Pathao Courier,Completed,0.85
SHP101253,2026-07-14,Mymensingh Hub,RedX,Failed,2.14
SHP101254,2025-11-15,Dhaka Hub,Steadfast Courier,Completed,2.98
SHP101255,2026-02-19,Khulna Hub,Sundarban Courier,Completed,2.9
SHP101256,2025-12-29,Dhaka Hub,Pathao Courier,Failed,2.51
SHP101257,2025-10-17,Rangpur Hub,Sundarban Courier,Completed,3.41
SHP101258,2025-10-06,Dhaka Hub,eCourier,Pending,
SHP101259,2026-01-05,Sylhet Hub,RedX,Completed,2.2
SHP101260,2025-09-29,Chattogram Hub,Pathao Courier,Completed,3.42
SHP101261,2025-09-24,Rajshahi Hub,RedX,Pending,
SHP101262,2025-12-31,Dhaka Hub,Sundarban Courier,Completed,2.28
SHP101263,2025-11-09,Dhaka Hub,Sundarban Courier,Completed,1.98
SHP101264,2026-03-11,Khulna Hub,Pathao Courier,Completed,0.5
SHP101265,2025-09-07,Narayanganj Hub,Steadfast Courier,Pending,
SHP101266,2025-12-14,Mymensingh Hub,Pathao Courier,Completed,3.23
SHP101267,2026-02-04,Narayanganj Hub,Pathao Courier,Completed,1.58
SHP101268,2026-07-31,Sylhet Hub,Pathao Courier,Completed,2.2
SHP101269,2026-04-08,Khulna Hub,RedX,Completed,3.16
SHP101270,2026-07-02,Rangpur Hub,Sundarban Courier,Completed,1.75
SHP101271,2025-12-28,Chattogram Hub,Pathao Courier,Completed,4.39
SHP101272,2026-02-03,Dhaka Hub,Sundarban Courier,Completed,3.28
SHP101273,2026-01-24,Dhaka Hub,RedX,Completed,1.76
SHP101274,2026-07-05,Narayanganj Hub,Sundarban Courier,Completed,3.87
SHP101275,2026-07-29,Rangpur Hub,Steadfast Courier,Completed,2.24
SHP101276,2026-07-30,Chattogram Hub,Sundarban Courier,Completed,5.48
SHP101277,2026-05-19,Rangpur Hub,Pathao Courier,Completed,2.25
SHP101278,2026-02-22,Barisal Hub,Steadfast Courier,Completed,2.81
SHP101279,2026-03-07,Sylhet Hub,eCourier,Completed,5.17
SHP101280,2026-08-06,Dhaka Hub,Sundarban Courier,Completed,2.34
SHP101281,2025-12-08,Barisal Hub,eCourier,Completed,3.54
SHP101282,2025-12-29,Chattogram Hub,RedX,Completed,4.03
SHP101283,2026-07-08,Dhaka Hub,Sundarban Courier,Completed,3.7
SHP101284,2026-01-12,Khulna Hub,eCourier,Completed,1.72
SHP101285,2025-11-21,Dhaka Hub,eCourier,Completed,3.49
SHP101286,2026-03-13,Barisal Hub,Sundarban Courier,Completed,4.39
SHP101287,2025-12-22,Chattogram Hub,RedX,Completed,3.4
SHP101288,2026-07-06,Rangpur Hub,Sundarban Courier,Pending,
SHP101289,2026-07-12,Sylhet Hub,Pathao Courier,Completed,3.2
SHP101290,2025-12-15,Khulna Hub,Steadfast Courier,Completed,1.42
SHP101291,2026-03-03,Dhaka Hub,RedX,Completed,2.29
SHP101292,2026-08-07,Dhaka Hub,RedX,Completed,2.15
SHP101293,2026-05-15,Dhaka Hub,RedX,Completed,1.75
SHP101294,2025-11-14,Chattogram Hub,RedX,Completed,3.61
SHP101295,2026-03-24,Dhaka Hub,Sundarban Courier,Completed,2.69
SHP101296,2026-04-03,Khulna Hub,Steadfast Courier,Failed,2.46
SHP101297,2026-04-15,Rajshahi Hub,RedX,Completed,2.37
SHP101298,2025-09-09,Rangpur Hub,RedX,Completed,2.14
SHP101299,2025-12-13,Khulna Hub,Sundarban Courier,Completed,2.48
SHP101300,2026-06-23,Chattogram Hub,Sundarban Courier,Completed,5.42
SHP101301,2025-11-23,Comilla Hub,Pathao Courier,Completed,1.59
SHP101302,2025-12-13,Sylhet Hub,Sundarban Courier,Pending,
SHP101303,2025-12-21,Chattogram Hub,Pathao Courier,Completed,3.43
SHP101304,2025-11-01,Dhaka Hub,RedX,Completed,2.62
SHP101305,2025-10-24,Dhaka Hub,Steadfast Courier,Completed,3.37
SHP101306,2025-12-30,Barisal Hub,Sundarban Courier,Completed,4.35
SHP101307,2026-06-30,Dhaka Hub,Sundarban Courier,Completed,3.44
SHP101308,2025-09-01,Chattogram Hub,RedX,Failed,3.91
SHP101309,2025-12-08,Dhaka Hub,Pathao Courier,Completed,2.25
SHP101310,2025-09-21,Chattogram Hub,Steadfast Courier,Cancelled,
SHP101311,2026-03-14,Rajshahi Hub,Sundarban Courier,Completed,2.73
SHP101312,2025-11-26,Dhaka Hub,Pathao Courier,Completed,3.27
SHP101313,2026-06-02,Dhaka Hub,Pathao Courier,Completed,2.18
SHP101314,2026-03-22,Mymensingh Hub,Steadfast Courier,Completed,1.76
SHP101315,2026-05-30,Barisal Hub,Pathao Courier,Completed,2.99
SHP101316,2026-04-08,Narayanganj Hub,RedX,Pending,
SHP101317,2026-01-30,Dhaka Hub,Pathao Courier,Cancelled,
SHP101318,2026-06-25,Barisal Hub,Pathao Courier,Completed,4.62
SHP101319,2026-02-12,Dhaka Hub,Steadfast Courier,Completed,3.27
SHP101320,2026-07-26,Khulna Hub,Pathao Courier,Completed,1.4
SHP101321,2026-08-11,Rangpur Hub,Pathao Courier,Completed,2.97
SHP101322,2026-03-23,Dhaka Hub,RedX,Completed,1.33
SHP101323,2026-04-22,Sylhet Hub,Steadfast Courier,Completed,2.98
SHP101324,2025-11-28,Dhaka Hub,Sundarban Courier,Completed,2.5
SHP101325,2026-06-09,Dhaka Hub,Pathao Courier,Completed,1.6
SHP101326,2026-04-21,Barisal Hub,Steadfast Courier,Failed,4.17
SHP101327,2026-07-10,Dhaka Hub,RedX,Completed,2.18
SHP101328,2025-12-02,Khulna Hub,eCourier,Completed,2.94
SHP101329,2026-05-31,Barisal Hub,eCourier,Completed,3.85
SHP101330,2026-02-10,Sylhet Hub,RedX,Pending,
SHP101331,2025-11-04,Dhaka Hub,Sundarban Courier,Completed,2.47
SHP101332,2025-10-30,Dhaka Hub,Sundarban Courier,Completed,3.61
SHP101333,2026-03-14,Chattogram Hub,eCourier,Completed,4.04
SHP101334,2025-12-20,Narayanganj Hub,eCourier,Completed,3.51
SHP101335,2025-10-06,Narayanganj Hub,Steadfast Courier,Completed,1.97
SHP101336,2026-01-26,Sylhet Hub,RedX,Completed,3.06
SHP101337,2026-04-14,Chattogram Hub,Sundarban Courier,Completed,5.11
SHP101338,2025-12-20,Rajshahi Hub,Sundarban Courier,Completed,3.76
SHP101339,2026-07-28,Mymensingh Hub,RedX,Completed,2.61
SHP101340,2026-05-28,Khulna Hub,Sundarban Courier,Completed,3.23
SHP101341,2026-02-25,Barisal Hub,eCourier,Completed,3.9
SHP101342,2026-07-21,Dhaka Hub,RedX,Completed,1.37
SHP101343,2026-01-28,Mymensingh Hub,Pathao Courier,Completed,1.91
SHP101344,2025-10-19,Khulna Hub,RedX,Failed,3.72
SHP101345,2025-09-13,Sylhet Hub,RedX,Pending,
SHP101346,2026-07-22,Dhaka Hub,Steadfast Courier,Completed,1.97
SHP101347,2026-07-30,Dhaka Hub,Sundarban Courier,Completed,1.86
SHP101348,2026-05-14,Chattogram Hub,RedX,Completed,2.94
SHP101349,2025-10-06,Comilla Hub,Sundarban Courier,Failed,2.3
SHP101350,2025-12-11,Khulna Hub,RedX,Completed,1.28
SHP101351,2025-09-15,Chattogram Hub,Pathao Courier,Completed,3.89
SHP101352,2025-09-18,Dhaka Hub,Steadfast Courier,Completed,2.87
SHP101353,2025-11-25,Dhaka Hub,Steadfast Courier,Completed,2.61
SHP101354,2026-03-17,Rajshahi Hub,RedX,Completed,1.36
SHP101355,2025-09-23,Narayanganj Hub,RedX,Completed,0.87
SHP101356,2026-08-07,Sylhet Hub,Pathao Courier,Completed,1.78
SHP101357,2026-02-05,Dhaka Hub,RedX,Pending,
SHP101358,2025-12-01,Chattogram Hub,Sundarban Courier,Pending,
SHP101359,2026-02-26,Khulna Hub,eCourier,Completed,2.32
SHP101360,2026-06-01,Rangpur Hub,Pathao Courier,Completed,2.61
SHP101361,2025-12-18,Sylhet Hub,eCourier,Completed,3.47
SHP101362,2025-09-17,Comilla Hub,Sundarban Courier,Completed,4.23
SHP101363,2025-09-18,Rajshahi Hub,RedX,Completed,3.69
SHP101364,2026-06-22,Dhaka Hub,RedX,Completed,1.93
SHP101365,2025-10-09,Dhaka Hub,Pathao Courier,Completed,0.78
SHP101366,2026-04-08,Khulna Hub,Sundarban Courier,Completed,2.64
SHP101367,2026-01-12,Rangpur Hub,eCourier,Completed,2.65
SHP101368,2026-05-28,Khulna Hub,RedX,Completed,2.62
SHP101369,2025-09-21,Rangpur Hub,Pathao Courier,Completed,1.49
SHP101370,2026-07-08,Dhaka Hub,Sundarban Courier,Completed,1.7
SHP101371,2026-04-30,Chattogram Hub,Sundarban Courier,Failed,5.07
SHP101372,2026-02-03,Dhaka Hub,RedX,Completed,1.62
SHP101373,2025-11-11,Chattogram Hub,RedX,Completed,3.07
SHP101374,2026-08-05,Khulna Hub,Pathao Courier,Completed,1.65
SHP101375,2025-12-14,Comilla Hub,RedX,Completed,1.93
SHP101376,2026-02-17,Sylhet Hub,eCourier,Completed,3.88
SHP101377,2026-01-15,Chattogram Hub,eCourier,Completed,2.6
SHP101378,2025-11-19,Barisal Hub,Pathao Courier,Completed,3.31
SHP101379,2026-01-23,Barisal Hub,Sundarban Courier,Completed,4.87
SHP101380,2025-10-23,Dhaka Hub,Sundarban Courier,Completed,3.14
SHP101381,2025-09-01,Barisal Hub,Pathao Courier,Completed,4.77
SHP101382,2025-12-10,Khulna Hub,Sundarban Courier,Completed,2.71
SHP101383,2025-10-09,Khulna Hub,Pathao Courier,Cancelled,
SHP101384,2026-01-22,Narayanganj Hub,Pathao Courier,Completed,3.06
SHP101385,2026-06-26,Rangpur Hub,RedX,Failed,2.33
SHP101386,2025-10-27,Mymensingh Hub,Pathao Courier,Completed,3.1
SHP101387,2025-09-01,Mymensingh Hub,eCourier,Cancelled,
SHP101388,2025-10-09,Rajshahi Hub,Pathao Courier,Completed,2.3
SHP101389,2026-02-23,Dhaka Hub,RedX,Completed,2.0
SHP101390,2025-12-05,Chattogram Hub,Sundarban Courier,Completed,4.73
SHP101391,2026-02-17,Rangpur Hub,eCourier,Completed,2.81
SHP101392,2025-09-11,Dhaka Hub,eCourier,Completed,1.89
SHP101393,2025-12-25,Narayanganj Hub,Sundarban Courier,Completed,3.37
SHP101394,2026-01-20,Dhaka Hub,RedX,Completed,3.35
SHP101395,2026-01-28,Khulna Hub,Pathao Courier,Failed,1.0
SHP101396,2026-03-10,Dhaka Hub,RedX,Pending,
SHP101397,2026-05-29,Rangpur Hub,Pathao Courier,Failed,2.6
SHP101398,2026-02-09,Rajshahi Hub,Sundarban Courier,Completed,3.66
SHP101399,2026-06-19,Chattogram Hub,Pathao Courier,Completed,3.26
SHP101400,2026-03-03,Dhaka Hub,Steadfast Courier,Pending,
SHP101401,2025-11-30,Sylhet Hub,Sundarban Courier,Completed,5.16
SHP101402,2025-11-19,Chattogram Hub,RedX,Completed,3.43
SHP101403,2025-12-21,Dhaka Hub,Sundarban Courier,Completed,3.41
SHP101404,2026-03-26,Dhaka Hub,Sundarban Courier,Completed,2.42
SHP101405,2025-11-23,Mymensingh Hub,Pathao Courier,Completed,1.9
SHP101406,2026-07-14,Chattogram Hub,Steadfast Courier,Completed,4.43
SHP101407,2026-02-14,Dhaka Hub,eCourier,Completed,2.76
SHP101408,2026-06-26,Dhaka Hub,Pathao Courier,Cancelled,
SHP101409,2026-04-25,Rajshahi Hub,eCourier,Completed,2.32
SHP101410,2025-12-25,Chattogram Hub,Sundarban Courier,Pending,
SHP101411,2025-11-18,Dhaka Hub,Pathao Courier,Completed,2.8
SHP101412,2026-05-16,Dhaka Hub,RedX,Completed,3.02
SHP101413,2025-12-24,Dhaka Hub,Pathao Courier,Completed,1.54
SHP101414,2025-11-25,Barisal Hub,Pathao Courier,Pending,
SHP101415,2026-07-19,Mymensingh Hub,RedX,Completed,1.39
SHP101416,2026-02-14,Mymensingh Hub,Pathao Courier,Completed,2.19
SHP101417,2025-09-17,Khulna Hub,Steadfast Courier,Pending,
SHP101418,2026-02-19,Chattogram Hub,RedX,Pending,
SHP101419,2026-02-07,Chattogram Hub,eCourier,Completed,4.16
SHP101420,2026-06-26,Rangpur Hub,RedX,Completed,1.06
SHP101421,2026-05-05,Rangpur Hub,Steadfast Courier,Completed,3.21
SHP101422,2025-11-06,Comilla Hub,Sundarban Courier,Failed,2.93
SHP101423,2025-10-23,Narayanganj Hub,RedX,Completed,2.02
SHP101424,2026-03-28,Barisal Hub,RedX,Completed,2.71
SHP101425,2025-09-17,Dhaka Hub,Steadfast Courier,Completed,2.87
SHP101426,2025-12-20,Narayanganj Hub,Pathao Courier,Completed,2.3
SHP101427,2025-10-18,Dhaka Hub,RedX,Completed,1.2
SHP101428,2025-09-08,Dhaka Hub,eCourier,Completed,2.4
SHP101429,2026-07-15,Mymensingh Hub,Sundarban Courier,Completed,2.0
SHP101430,2025-10-02,Khulna Hub,Steadfast Courier,Completed,2.53
SHP101431,2025-09-04,Dhaka Hub,Sundarban Courier,Completed,3.31
SHP101432,2026-07-20,Khulna Hub,Pathao Courier,Completed,2.4
SHP101433,2025-11-05,Rangpur Hub,RedX,Completed,2.6
